date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-06-01,Delhi,4-Wheelers,148,12914,2022,Q1,6,2021
2021-06-01,Goa,4-Wheelers,14,749,2022,Q1,6,2021
2021-06-01,Gujarat,4-Wheelers,61,19359,2022,Q1,6,2021
2021-06-01,Haryana,4-Wheelers,4,13420,2022,Q1,6,2021
2021-06-01,Jharkhand,4-Wheelers,4,4405,2022,Q1,6,2021
2021-06-01,Karnataka,4-Wheelers,71,8030,2022,Q1,6,2021
2021-06-01,Kerala,4-Wheelers,140,10018,2022,Q1,6,2021
2021-06-01,Madhya Pradesh,4-Wheelers,13,12092,2022,Q1,6,2021
2021-06-01,Maharashtra,4-Wheelers,190,24817,2022,Q1,6,2021
2021-06-01,Odisha,4-Wheelers,2,3041,2022,Q1,6,2021
2021-06-01,Punjab,4-Wheelers,3,7126,2022,Q1,6,2021
2021-06-01,Rajasthan,4-Wheelers,34,12070,2022,Q1,6,2021
2021-06-01,Tamil Nadu,4-Wheelers,42,7793,2022,Q1,6,2021
2021-06-01,Uttar Pradesh,4-Wheelers,3,25704,2022,Q1,6,2021
2021-06-01,Uttarakhand,4-Wheelers,7,2972,2022,Q1,6,2021
2021-06-01,West Bengal,4-Wheelers,18,6316,2022,Q1,6,2021
2021-06-01,Andhra Pradesh,2-Wheelers,369,53867,2022,Q1,6,2021
2021-06-01,Assam,2-Wheelers,6,22586,2022,Q1,6,2021
2021-06-01,Bihar,2-Wheelers,67,100771,2022,Q1,6,2021
2021-06-01,Chandigarh,2-Wheelers,2,1314,2022,Q1,6,2021
2021-06-01,Chhattisgarh,2-Wheelers,138,31808,2022,Q1,6,2021
2021-06-01,DNH and DD,2-Wheelers,2,627,2022,Q1,6,2021
2021-06-01,Delhi,2-Wheelers,205,22186,2022,Q1,6,2021
2021-06-01,Goa,2-Wheelers,17,1533,2022,Q1,6,2021
2021-06-01,Gujarat,2-Wheelers,207,59121,2022,Q1,6,2021
2021-06-01,Haryana,2-Wheelers,74,31957,2022,Q1,6,2021
2021-06-01,Himachal Pradesh,2-Wheelers,25,5098,2022,Q1,6,2021
2021-06-01,Jammu and Kashmir,2-Wheelers,87,8677,2022,Q1,6,2021
2021-06-01,Jharkhand,2-Wheelers,42,33533,2022,Q1,6,2021
2021-06-01,Karnataka,2-Wheelers,560,19402,2022,Q1,6,2021
2021-06-01,Kerala,2-Wheelers,184,17828,2022,Q1,6,2021
2021-06-01,Madhya Pradesh,2-Wheelers,227,90928,2022,Q1,6,2021
2021-06-01,Maharashtra,2-Wheelers,891,75098,2022,Q1,6,2021
2021-06-01,Odisha,2-Wheelers,147,23193,2022,Q1,6,2021
2021-06-01,Puducherry,2-Wheelers,31,2559,2022,Q1,6,2021
2021-06-01,Punjab,2-Wheelers,71,23393,2022,Q1,6,2021
2021-06-01,Rajasthan,2-Wheelers,515,59809,2022,Q1,6,2021
2021-06-01,Tamil Nadu,2-Wheelers,660,45197,2022,Q1,6,2021
